2025-04-07 11:38:27 | INFO | PID:23180 | Found 0 existing workers for worker2 on graph_queue
2025-04-07 11:38:30 | INFO | PID:23180 | Started worker process 14896
2025-04-07 11:47:54 | INFO | PID:21536 | Found 0 existing workers for worker1 on urls_queue
2025-04-07 11:47:57 | INFO | PID:21536 | Started worker process 23636
2025-04-07 11:58:10 | INFO | PID:3540 | Found 0 existing workers for worker1 on urls_queue
2025-04-07 11:58:13 | INFO | PID:3540 | Started worker process 12588
2025-04-07 11:58:55 | INFO | PID:3540 | Found 1 existing workers for worker1 on urls_queue
2025-04-07 17:24:37 | INFO | PID:10324 | Found 0 existing workers for worker1 on urls_queue
2025-04-07 17:24:40 | INFO | PID:10324 | Started worker process 6972
2025-04-07 17:24:57 | INFO | PID:10324 | Consumer Tag: worker1_6972
2025-04-07 17:24:57 | INFO | PID:10324 | Log path generated: app\static\logs\workers\2025\04\07\worker_6972.log
2025-04-07 17:29:51 | INFO | PID:14960 | Found 0 existing workers for worker1 on urls_queue
2025-04-07 17:29:54 | INFO | PID:14960 | Started worker process 25300
2025-04-07 17:30:09 | INFO | PID:14960 | Consumer Tag: worker1_25300
2025-04-07 17:30:09 | INFO | PID:14960 | Log path generated: app\static\logs\workers\2025\04\07\worker_25300.log
2025-04-07 17:30:51 | INFO | PID:22420 | Found 0 existing workers for worker1 on urls_queue
2025-04-07 17:30:54 | INFO | PID:22420 | Started worker process 25232
2025-04-07 17:31:08 | INFO | PID:22420 | Consumer Tag: worker1_25232
2025-04-07 17:31:08 | INFO | PID:22420 | Log path generated: app\static\logs\workers\2025\04\07\worker_25232.log
2025-04-07 17:32:29 | INFO | PID:22420 | Log path generated: app\static\logs\workers\2025\04\07\worker_25232.log
2025-04-07 17:32:29 | INFO | PID:22420 | Streaming logs from: app\static\logs\workers\2025\04\07\worker_25232.log
2025-04-07 17:34:52 | INFO | PID:22420 | Queue 'graph_queue' created successfully
2025-04-07 17:35:07 | INFO | PID:22420 | Delete response status: 204, content: 
2025-04-07 17:35:07 | SUCCESS | PID:22420 | Queue 'graph_queue' deleted successfully
